14856	 75859	 75988	25.2074	24.1588	47.5
14171	NA	NA	NA	NA	NA
13392	 81301	 81535	23.8275	20.2108	45
15928	 80977	 81134	22.6831	21.3142	64.0054
22476	NA	104027	NA	18.3327	45
 2904	 10923	 10842	20.4462	20.8569	45
13386	NA	NA	NA	NA	NA
14265	NA	 73607	NA	21.0842	45
  331	 79983	NA	47.2607	NA	35
 3984	NA	 14347	NA	28.9692	50
 7984	NA	 11395	NA	21.1964	45
 3281	NA	NA	NA	NA	NA
11993	NA	NA	NA	NA	NA
 9660	 41244	 42724	23.2909	21.1636	47.5
 8734	  8672	NA	43.896	NA	45
17739	 17087	 85385	21.1937	21.3005	50
  553	  1203	NA	18.7297	NA	57.0812
19999	NA	NA	NA	NA	NA
16734	NA	NA	NA	NA	NA
16152	NA	NA	NA	NA	NA
 9822	 13207	 41828	34.6639	32.3395	47.5
 6798	 26900	NA	21.7385	NA	62.046
 7491	NA	NA	NA	NA	NA
16269	NA	NA	NA	NA	NA
12516	 54021	NA	16.6352	NA	64.5408
21003	NA	 99802	NA	23.6715	40
 4333	 47079	 17774	25.8179	19.1458	46.66395
12006	NA	 57101	NA	21.451	58.196
15009	NA	 76948	NA	20.3531	62.4124
21423	101839	101509	17.0185	22.2259	60.4815
14462	NA	 73680	NA	26.382	45
 8711	NA	NA	NA	NA	NA
  630	 23491	  1429	22.3053	19.5482	68.293
12704	NA	NA	NA	NA	NA
 5389	 20570	 21033	26.5134	23.8878	45
18227	 85109	NA	34.8282	NA	45
 9775	NA	NA	NA	NA	NA
 8048	NA	NA	NA	NA	NA
 7969	 78270	NA	35.2608	NA	40
 3796	  7947	NA	58.4586	NA	40
 2022	NA	NA	NA	NA	NA
21377	NA	NA	NA	NA	NA
 9106	NA	 42305	NA	18.5845	40
14837	 76820	 76447	17.6755	20.72	48.97775
14673	 49708	NA	35.0965	NA	40
 7040	 28203	 27910	20.512	21.6427	65.12525
11901	NA	NA	NA	NA	NA
 2485	NA	NA	NA	NA	NA
15651	NA	NA	NA	NA	NA
 7247	 28723	 29136	20.8022	18.7351	66.5746000000001
  795	  1507	  2010	27.8686	17.6345	63.8891500000001
21731	NA	NA	NA	NA	NA
17479	 85366	 83646	16.3943	20.575	45.90965
19045	NA	NA	NA	NA	NA
 2965	  9056	NA	31.0965	NA	50
22187	NA	NA	NA	NA	NA
 8547	NA	NA	NA	NA	NA
17699	 84799	 84943	22.8666	22.2232	47.5
 2284	NA	NA	NA	NA	NA
23014	106934	106798	18.423	20.0136	68.5235
14013	 71872	 71923	19.6441	19.1841	47.5
21757	 44797	 43286	22.4641	26.2752	43.59445
 8371	NA	 12345	NA	21.0486	35
12463	 60027	 60428	20.3204	18.0178	65.3236
16499	NA	NA	NA	NA	NA
21726	NA	 42896	NA	25.7194	40
22068	NA	NA	NA	NA	NA
  255	     4	    71	20.7474	19.7481	47.5
 2223	NA	NA	NA	NA	NA
22388	103557	103376	19.258	21.0103	49.62385
22743	106179	104516	16.9884	22.3354	60.1325
 7314	NA	NA	NA	NA	NA
 8277	NA	NA	NA	NA	NA
 2336	NA	NA	NA	NA	NA
 3353	 12723	NA	24.2053	NA	50
 1860	NA	NA	NA	NA	NA
21431	101202	NA	26.2614	NA	63.9544
11940	NA	 57054	NA	20.5202	62.9192
 1231	NA	NA	NA	NA	NA
18181	 89912	 88644	18.3819	22.0014	48.69025
18829	NA	NA	NA	NA	NA
 3644	NA	NA	NA	NA	NA
22609	104171	103939	21.2457	23.7016	61.86025
20512	NA	 85883	NA	29.5387	40
17883	NA	NA	NA	NA	NA
23113	107254	107154	18.9678	19.9042	68.1272
 7377	NA	NA	NA	NA	NA
 6410	NA	NA	NA	NA	NA
 4479	 50150	 18237	20.0877	19.7372	42.5
15476	 77334	NA	28.6927	NA	57.2292
15195	NA	NA	NA	NA	NA
 7871	NA	NA	NA	NA	NA
 4671	NA	 14309	NA	46.0452	40
 6603	NA	 26151	NA	22.1301	43.4796
17710	NA	NA	NA	NA	NA
 6324	 23662	 24386	28.6324	25.2484	45
 2891	 10626	NA	22.0725	NA	45
20839	 99155	 99187	20.7173	20.2518	47.5
 7586	NA	  7809	NA	35.8603	35
 4339	 16345	 16026	27.6413	29.4182	49.61155
 1857	NA	NA	NA	NA	NA
11019	 51304	 51640	25.191	22.5681	47.5
  649	  1486	  1570	19.2827	17.5743	68.286
15672	NA	 80980	NA	17.295	62.1800000000001
11361	 53623	NA	19.3648	NA	58.5407999999999
12307	NA	NA	NA	NA	NA
11191	NA	NA	NA	NA	NA
 1269	NA	NA	NA	NA	NA
 6156	 49044	NA	57.4812	NA	35
19806	 93346	 93081	17.9603	19.7098	66.46545
 2824	 10276	 10844	21.0404	18.8556	50
  990	NA	NA	NA	NA	NA
12959	 68316	 78031	20.2629	17.7358	47.5
 5920	 23239	 23618	22.5079	19.7865	45
15851	NA	NA	NA	NA	NA
20805	NA	 98793	NA	24.0712	45
21209	NA	NA	NA	NA	NA
 6496	 59079	NA	17.1225	NA	43.49
16314	  6301	NA	48.6215	NA	45
21349	101444	101411	20.0247	20.3696	62.7114
17071	NA	NA	NA	NA	NA
16557	NA	NA	NA	NA	NA
 8602	  6497	NA	52.1423	NA	40
11733	 23940	NA	20.4764	NA	54.0944
 7780	  7423	NA	36.1533	NA	40
 9056	 41985	 42059	19.1431	18.8337	47.5
 7406	  9827	 10394	23.3648	20.2793	47.5
