10823	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
 6273	148.1533	1	29936	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14679	126.4203	3	78898	79026	79162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19181	145.7714	2	95211	96005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21136	148.2738	6	102191	102306	97710	97861	97918	98006	NA	NA	NA	NA	NA	NA	NA	NA
17280	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
 5747	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10326	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17591	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
 6115	147.2088	1	29768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13545	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21720	113.3881	8	51227	51434	51433	52257	52615	52995	53329	53604	NA	NA	NA	NA	NA	NA
23166	167.5099	5	105595	110355	110859	111109	111317	NA	NA	NA	NA	NA	NA	NA	NA	NA
20410	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
 5350	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19111	155.0500	7	60568	53991	54325	55465	55782	57915	58395	NA	NA	NA	NA	NA	NA	NA
 1848	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
 4850	137.7851	9	23787	24168	25177	25648	26264	26265	26775	27472	27829	NA	NA	NA	NA	NA
12841	 49.3060	2	81530	81999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16523	 88.3066	6	83637	84903	47899	48605	49100	49619	NA	NA	NA	NA	NA	NA	NA	NA
16480	 85.9220	2	83591	86233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
 6130	147.9179	1	29892	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
 5455	142.2724	5	26248	26616	27026	28237	28781	NA	NA	NA	NA	NA	NA	NA	NA	NA
 2985	 75.0363	2	15163	15396	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13649	 86.8474	5	81878	69889	70308	71951	72219	NA	NA	NA	NA	NA	NA	NA	NA	NA
  608	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14901	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
 5571	137.9740	2	26665	27852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
 7780	 87.1869	7	43638	44300	45275	46309	46310	47299	49260	NA	NA	NA	NA	NA	NA	NA
 1035	 35.4634	3	7002	7452	8190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
 3142	 76.4490	1	15686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13031	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20883	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14557	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
 6484	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
 7264	177.8590	3	38919	39800	32975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18857	134.6393	2	93063	93306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
 2570	 78.2888	8	13069	13400	13843	14089	14398	14891	15485	16012	NA	NA	NA	NA	NA	NA
18561	140.3723	4	91038	91037	93380	95172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
 5208	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20918	137.6400	6	101449	101551	101707	101779	101851	102071	NA	NA	NA	NA	NA	NA	NA	NA
 6725	159.1157	1	32023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19048	149.1608	7	94723	95124	95314	95517	95518	95991	96459	NA	NA	NA	NA	NA	NA	NA
20741	125.7385	5	100837	100971	101090	101091	101215	NA	NA	NA	NA	NA	NA	NA	NA	NA
 2637	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15060	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18326	128.1451	3	87593	89692	90704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20258	112.3039	5	98787	98990	99619	99899	100333	NA	NA	NA	NA	NA	NA	NA	NA	NA
20243	107.5674	3	99176	99675	99921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
  168	107.0418	2	630	782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18259	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
 8171	 77.3361	2	44579	45151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21989	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18161	119.1978	1	55159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20068	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
